value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_max_leaves,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0.8734975285753309,0.35491572228478124,0.4436310002140184,0.014790187803462524,80,21,3.454598681327375,601,0.0394895611819929,0.4504468511522267,0.6214820657854331
0.8733546345805367,0.35612516929306054,0.39065773295474704,0.015199499856918458,74,23,3.444356378378376,590,0.09228594714152931,0.5167275155481007,0.6222501408754726
0.8732535151891618,0.3502527381566336,0.36182232807331927,0.01485487099866926,90,21,3.3752194434636156,564,0.1177588499223159,0.44251987450969155,0.6222096807195452
0.873230851677396,0.3484871638065253,0.5993982601332575,0.014921408494698134,15,20,3.725892330639482,590,0.053828099630086314,0.5119220067970657,0.621389972673664
0.8732254564088539,0.35416631909427937,0.43545050118796963,0.014806034352391934,82,23,3.5322409588258465,605,0.05320652622744451,0.4261528525020161,0.6226254306940049
0.8732247940945165,0.3536164425418359,0.37056424805516874,0.01496651659583807,95,19,3.3130863349898676,584,0.10811053295466987,0.4655827549281407,0.6246139709782549
0.8732241088723951,0.3539311196014535,0.4116813637724996,0.01487697468620862,77,21,3.477126492975875,577,0.05032669531633552,0.4479290706305266,0.6213260658056605
0.8732179036528356,0.35208742542942106,0.45201354417753886,0.014856736969293034,15,21,3.3954555876659134,603,0.15699922163904417,0.49419932843312186,0.6213946028611586
0.8732151269866268,0.3518525377928526,0.3876303843775719,0.014943569786800911,82,23,3.7908851336677682,584,0.08074617715363397,0.41990910239505985,0.6208059670930707
0.8732133204481926,0.34558032916133924,0.4211103314906416,0.014953541097460993,16,17,3.886430852409996,586,0.06456868603671034,0.4890568370871133,0.6269066941015019
0.8732124098512986,0.3525663125458462,0.36280267753475315,0.015497419064009524,91,23,4.0041892390874745,527,0.030589118918869694,0.6133493935622453,0.6221480102696287
0.8731990541207095,0.3551401677779485,0.42325194787053544,0.014833941551971427,79,20,3.462596149931078,584,0.03049115090939997,0.4448019342898063,0.6215002645311799
0.8731983084639495,0.3502635750896466,0.27678501896610336,0.01534146732558521,16,21,3.4726077192444027,585,0.17824483756394474,0.5633752416241309,0.6242567205351554
0.8731570140318409,0.34937148641217647,0.3066246919491362,0.014972275969879798,45,23,3.7418626227459537,575,0.11514290689877059,0.5214550025233682,0.6223808954874832
0.8731534082436031,0.34883590196293796,0.318088083908307,0.015098109834631952,20,20,3.2955646096905538,593,0.16993057099319017,0.5256395736252075,0.6219236742961197
0.8731510063611843,0.3506804474714217,0.31340046401074423,0.01455718351303731,18,19,3.5284610816871687,596,0.15813032272706215,0.5060355904236545,0.6208927890250578
0.8731399489878943,0.3480143117063209,0.2878127195063695,0.015211479716845762,97,24,3.3522543222771324,584,0.03516677935517665,0.5414539601013313,0.6328705062410995
0.8731397004045764,0.3510630002625298,0.3414605894029732,0.014890374349345337,20,20,3.7525293969294187,560,0.16030731185903818,0.6693600769945325,0.6234385285842123
0.8731378243040467,0.3484051742716704,0.3093599960723188,0.014853655399040855,46,20,3.2996641443495367,593,0.1803426636304935,0.5072466789557654,0.621646666139825
0.8731231681419918,0.3393346670650104,0.36480024923043153,0.016119420841358933,85,19,3.7709658109800657,515,0.040476417091973374,0.6267311050588468,0.6197155344190285
0.8731231398286049,0.34808602740385125,0.449884782530726,0.015424369849786275,56,20,3.6894818064872057,601,0.10058636918117458,0.4761511496760955,0.6226608409114962
0.8731200403782943,0.34783841767806023,0.44745765173253005,0.015237365912987126,73,20,3.5099580965585653,578,0.11869814832049604,0.6754308935832144,0.6215469232619572
0.873113645165336,0.34844680899803143,0.5896869734538296,0.015034467032957624,94,20,3.71543841036249,588,0.06817310417303885,0.610644060126204,0.6209789788607702
0.8731112470198739,0.3512436233569135,0.3256330848224669,0.014685607733311014,75,20,3.362333622130966,588,0.04987043999959256,0.5174419602139874,0.6273696346512515
0.8731091715121847,0.34502594882393856,0.5012371372508191,0.014972246742115234,81,21,3.9276538943830768,607,0.1601397470387926,0.44273471224250016,0.6217525276409935
0.873098971369229,0.34856756968362956,0.26057097165250287,0.01477779576713964,80,20,3.4809357414854434,602,0.09941444063912108,0.4936738808636146,0.6211521882756451
0.8730986871002766,0.3548335166547727,0.35169981903247627,0.01476249101509253,85,22,3.636449385182123,581,0.03872676876637905,0.4370229276287516,0.621630287474059
0.873096130455728,0.3485345736366099,0.3287818157034577,0.015288762296502296,55,20,3.838053048825765,582,0.05810056089534912,0.5456163190418176,0.6214064736926397
0.8730932817016168,0.3540788967276863,0.48012921534512576,0.015355790342046115,20,20,3.651513504241587,582,0.12526672099410083,0.5515380194586814,0.620816955601338
0.8730907714378761,0.355964476010589,0.27878820903296886,0.015591005069208162,78,20,3.494241313989637,579,0.08665785620171282,0.42535863576893884,0.6204752797570906
0.8730887667215734,0.3486194056347263,0.30308553545961714,0.016647122706908792,70,16,3.2719582318172122,595,0.1155395342835757,0.5070620363646486,0.6211832446709954
0.8730886942936799,0.3513691216251097,0.33721319558542145,0.014816510932384126,91,21,3.3842246832130947,560,0.12048421793117792,0.5232062030977812,0.6213902742777773
0.8730881574773622,0.3485264743072773,0.5884075496767589,0.015083433588396311,55,22,3.6925489996236305,565,0.06734778664086459,0.7119283333454516,0.6220682428954066
0.8730857197365509,0.35097260649533835,0.44464936911812936,0.015498730565319809,60,20,3.7318647706575425,607,0.06530872706368196,0.44827547664335127,0.6270207102707893
0.8730846852482154,0.35127091077158107,0.4164350234723967,0.01505140264465579,65,22,3.1953604732449157,561,0.11052336031232185,0.39679045961191467,0.6221003538872013
0.8730845054394509,0.3436056009497227,0.26320433118817305,0.015004969071291127,95,20,3.904892774750628,540,0.05198617498133555,0.6609218778608644,0.6205392040961567
0.8730804547581371,0.35133370232264155,0.45864391334253907,0.014860141775538556,90,20,3.571859266080374,606,0.17345365223636433,0.45407561122375517,0.6222536309903173
0.8730791783630936,0.3537087574354641,0.4443486529826485,0.015306250304950891,82,21,3.8629743896099065,522,0.03927448578796706,0.6138750466504084,0.6223370915773904
0.873078202134263,0.3385852997596041,0.3786232278820387,0.015654270302532525,88,23,3.677656956070338,535,0.0228704106264566,0.6619305207445605,0.6222979842999912
0.8730746196597362,0.34231945759956106,0.4172828103421394,0.01531004490992377,96,22,3.9657020397067897,531,0.024342125085535384,0.6422127752057434,0.6225284673934885
0.873073800349567,0.3485177763227723,0.5408401003923688,0.017001468867674206,92,16,3.277676558388981,594,0.13382136369578507,0.5482875872638645,0.6214205876769572
