value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_max_leaves,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0.8731621707735121,0.3361910146880041,0.004839831801391692,0.01647193304876338,13,16,1.1798524464977616,786,0.12911172519549266,0.8848001305207343,0.6398250120287069
0.8730780238869535,0.3365327088833932,0.25449813013099304,0.016394705286512976,13,16,0.9221085651496179,754,0.13266994808251406,0.8901787360724903,0.6397873144793206
0.8730135075417387,0.33003284020097007,0.004139095178522817,0.01733169477329435,20,17,0.5220679138024574,775,0.028795053069311342,0.7631931578320499,0.6394900909685787
0.8730057469549376,0.3442487528891808,0.005777422828519211,0.016404529770302517,4,38,0.8926108196584353,781,0.05003351510567852,0.8609554622861945,0.6404511200030606
0.8729961626805887,0.3330427444811806,0.09334779502690535,0.01565663129994342,4,21,1.6829087113870116,735,0.09827026932148772,0.8990957095329396,0.6438175526381971
0.8729876905950956,0.3363364335972668,0.09684722658516179,0.016662601593810153,9,17,0.7648334926144766,731,0.11306007699281022,0.9168463940790582,0.6338295900449039
0.8729827265877492,0.3544357473677286,0.4975808020911906,0.017439542628855522,14,17,2.3434726025728203,763,0.13540795021914392,0.8784197190973,0.6669155398764884
0.8729798410248908,0.33652919336022447,0.09903645766884774,0.015706953585006067,4,17,0.38164734870693584,839,0.08461599381974261,0.9108159931245786,0.6424847887173452
0.8729718302087794,0.34235245943400994,0.2364236910267338,0.016408713205811918,16,15,1.4915142336523959,742,0.0007017713020123113,0.8357749295883148,0.6347798316441331
0.872927608834706,0.3356381660370706,0.09946676269736807,0.01575531644019832,16,16,0.47455476378201533,863,0.13315722829867715,0.8415984186556499,0.6399597137660255
0.8729275784077009,0.34890777099966214,0.4634426438461825,0.017292884262971157,41,17,1.740057387059009,766,0.034317517713988534,0.9115350282735116,0.635024201541359
0.8729128515770137,0.34974027703311794,0.003218891563467857,0.01648289036415638,7,16,1.1554998453256657,702,0.09293356213380757,0.9069481170069291,0.6398993283562238
0.8729101537200723,0.33369928042902947,0.24239277783012017,0.015304597666442975,8,18,1.3272294303003858,740,0.12844747076633736,0.9105216299830953,0.6396003872801823
0.8729029844664276,0.3393442256106545,0.14750011649324166,0.01719730905735768,18,14,0.057464868745324305,832,0.059656952145784384,0.7544979672201333,0.6453591088399027
0.872897746756563,0.3365613063942206,0.3135207843882238,0.016749275775192085,4,24,1.3582296574477533,755,0.1165540615003137,0.9542182676317033,0.6481577118372143
0.8728942264495982,0.34725831746666525,0.22625577370779976,0.01662228765649246,14,18,0.4762601890444166,730,0.1351445828247616,0.9011831681900626,0.6397301150523017
0.8728922489661144,0.3482418730522227,0.22220998620284765,0.01585630975619539,19,17,0.5372637744693298,753,0.043778581079603265,0.8400370026392262,0.640417964160095
0.8728902864140657,0.3440973969978002,0.011468742070602389,0.015536753576507899,111,17,0.6947078844707394,702,0.019628625709123174,0.7140206224799903,0.6368603694139982
0.8728850317961756,0.33009163934214597,0.21792511093071498,0.017756299829267488,4,23,1.5409977722114099,736,0.1365822479770729,0.9257265679270582,0.6519292088607844
0.8728793745686261,0.3489647493078728,0.346132610269849,0.016427261683911683,15,16,1.1578897395262766,753,0.09546194683827441,0.8179594569845576,0.6364736367815204
0.8728783153266816,0.3488227746265663,0.2570650253067639,0.015693249437037562,12,12,1.6427041659793784,765,0.022068437247627585,0.787246226890714,0.6429084693183664
0.8728698907716315,0.3394155025580098,0.33388463655442896,0.016004672616391366,17,17,1.1007376972601697,748,0.053289110802689874,0.6199588691001022,0.637672654231371
0.8728552804382212,0.34464333969689254,0.26214256438611844,0.015380503941882522,12,18,1.541126738079662,742,0.0014795872283405668,0.8328820043059871,0.6336254111794998
