iter	Logloss
132	0.5606501932
133	0.5604890225
134	0.5603096777
135	0.5601089905
136	0.5599729918
137	0.5597635906
138	0.5595790027
139	0.5594643166
140	0.5593379195
141	0.5591797174
142	0.5589812619
143	0.5588285069
144	0.558646276
145	0.5585231957
146	0.5583650158
147	0.5582833362
148	0.5582121319
149	0.5580313018
150	0.5578590961
151	0.5577907334
152	0.5576341335
153	0.557561716
154	0.557362448
155	0.557176797
156	0.5570488612
157	0.5569827049
158	0.556862262
159	0.5567580058
160	0.5566320124
161	0.5564973499
162	0.5563778796
163	0.5562729648
164	0.5561915876
165	0.5560712384
166	0.5558601694
167	0.5557600025
168	0.5556554596
169	0.5555347768
170	0.5553581688
171	0.5552671527
172	0.5550894512
173	0.5549336508
174	0.5547770619
175	0.5545633475
176	0.5544343091
177	0.5543315112
178	0.5542107234
179	0.5540324585
180	0.5539300285
181	0.5537864841
182	0.5536823713
183	0.5535155932
184	0.5534068767
185	0.5532502334
186	0.5531307044
187	0.5529812018
188	0.5529044335
189	0.5527545088
190	0.5526188545
191	0.5523935022
192	0.5523319209
193	0.552165564
194	0.5519813579
195	0.5518572054
196	0.5518025799
197	0.5517407585
198	0.551629103
199	0.5515335995
200	0.5514176204
201	0.5513098871
202	0.5511992964
203	0.5510619436
204	0.5509703785
205	0.5508968008
206	0.550776463
207	0.5506805442
208	0.5505739162
209	0.5504615156
210	0.5503036171
211	0.5501994803
212	0.5500578547
213	0.5499189679
214	0.5498399002
215	0.5497511043
216	0.5495524636
217	0.5493940324
218	0.5493033136
219	0.5491655891
220	0.549063305
221	0.54890104
222	0.548680486
223	0.5485476085
224	0.5484528015
225	0.5483798008
226	0.5482434374
227	0.5481756674
228	0.5480675277
229	0.5479581068
230	0.547840751
231	0.5477539996
232	0.5475589285
233	0.5473827962
234	0.5473047747
235	0.5471842644
236	0.5470687145
237	0.5468738583
238	0.546671694
239	0.5464817695
240	0.5463447292
241	0.5461764537
242	0.5460603591
243	0.5459596555
244	0.5457658271
245	0.5456486291
246	0.5455363938
247	0.5454565028
248	0.5453827629
249	0.5452275713
250	0.5451238021
251	0.5449873919
252	0.5448276511
253	0.5447246122
254	0.5446519864
255	0.5444990852
256	0.5444152213
257	0.5443114867
258	0.544229386
259	0.5440680519
260	0.5439121623
261	0.5437455544
262	0.5436088997
263	0.5435357385
264	0.5433768671
265	0.5433376512
266	0.5432287105
267	0.5430134905
268	0.5429159662
269	0.5428501753
270	0.5427381503
271	0.5426156554
272	0.5424684876
273	0.5423350153
274	0.5421236473
275	0.5420208611
276	0.5418912145
277	0.5417674363
278	0.5416267319
279	0.54147978
280	0.5413814891
281	0.5412655117
282	0.5411313298
283	0.5410148931
284	0.5408964145
285	0.5407793493
286	0.54067685
287	0.540502002
288	0.540349038
289	0.5401649349
290	0.5399873044
291	0.5398479735
292	0.5396588018
293	0.5395131784
294	0.5393599063
295	0.5391648823
296	0.5389638332
297	0.5387941601
298	0.5386448866
299	0.5384948555
300	0.5384011606
301	0.5382381019
302	0.5380996335
303	0.5379257292
304	0.5378215557
305	0.5376261919
306	0.5374922175
307	0.5373376273
308	0.5371352509
309	0.5370044509
310	0.5368548735
311	0.5366829656
312	0.5365530475
313	0.5363757131
314	0.5362879506
315	0.5361490686
316	0.5360179297
317	0.5358503185
318	0.5357132058
319	0.535549092
320	0.535482794
321	0.5353240945
322	0.535163803
323	0.535047633
324	0.5348912665
325	0.5347463868
326	0.5345658516
327	0.5344306217
328	0.5343310257
329	0.5341649836
330	0.5340135359
331	0.5338505811
332	0.5336957092
333	0.5335807954
334	0.5333975549
335	0.5333393186
336	0.5331390898
337	0.5329970763
338	0.5328026899
339	0.5326446121
340	0.5325450928
341	0.5324142211
342	0.5322877675
343	0.532105921
344	0.5319741331
345	0.5317895639
346	0.531618205
347	0.5314769088
348	0.531389633
349	0.5312762693
350	0.5311224689
351	0.5310026294
352	0.5308479397
353	0.5307090686
354	0.5304570556
355	0.5302535874
356	0.5301785206
357	0.5300791613
358	0.5298709987
359	0.5297741896
360	0.5295829608
361	0.5294317359
362	0.5292731581
363	0.5291410179
364	0.5290054048
365	0.5288342569
366	0.5285988821
367	0.5285303416
368	0.528373974
369	0.5282161111
370	0.5280623066
371	0.5280014825
372	0.5278573843
373	0.5277658337
374	0.5275972533
375	0.5274314236
376	0.5272042173
377	0.5270830718
378	0.526928194
379	0.5267923765
380	0.5265777736
381	0.5264937629
382	0.5263759923
383	0.5262481135
384	0.5261031884
385	0.5259868387
386	0.5258553105
387	0.5256827997
388	0.5255977239
389	0.5254519398
390	0.5253320499
391	0.5251932977
392	0.5250747176
393	0.5248852854
394	0.5247312486
395	0.5246414504
396	0.5245022519
397	0.5243648598
398	0.5242596074
399	0.5241619082
400	0.5239483249
401	0.5237864384
402	0.5236695956
403	0.5234919847
404	0.523371467
405	0.5232190547
406	0.5230418958
407	0.5229220068
408	0.5227768676
409	0.5225612651
410	0.5224133903
411	0.5223208756
412	0.5221682989
413	0.5219933083
414	0.5218989606
415	0.5217538375
416	0.5216415
417	0.5214741062
418	0.5213149442
419	0.5212244208
420	0.5210991951
421	0.5209979384
422	0.5208634889
423	0.5207813283
424	0.520702717
425	0.5205981569
426	0.5204445228
427	0.5203034199
428	0.5201974916
429	0.5200465364
430	0.5198795538
431	0.5197372069
432	0.5196041227
433	0.519475632
434	0.519393879
435	0.519206253
436	0.5190863955
437	0.5189339823
438	0.5189035087
439	0.5187078337
440	0.5185597238
441	0.5183708546
442	0.5182617217
443	0.5182042582
444	0.5180583768
445	0.517856366
446	0.5176688719
447	0.5175907057
448	0.5174267065
449	0.5172822386
450	0.5172122161
451	0.5170908754
452	0.516981584
453	0.5168153533
454	0.5166664521
455	0.5165016388
456	0.5163609451
457	0.5161296989
458	0.515934459
459	0.5157291645
460	0.5155982537
461	0.5154974082
462	0.5153815123
463	0.5151922522
464	0.5150331889
465	0.5148666017
466	0.5148161372
467	0.5146885899
468	0.5145735728
469	0.5145268435
470	0.5144036072
471	0.5142234905
472	0.5141140208
473	0.5139887577
474	0.513883807
475	0.5137779204
476	0.5135979019
477	0.5134723903
478	0.5133257184
479	0.5132222547
480	0.5131308182
481	0.5129845826
482	0.5128200126
483	0.5127253476
484	0.5125324961
485	0.5123604623
486	0.5122332404
487	0.5120764269
488	0.51191431
489	0.511870189
490	0.5117658614
491	0.5115659352
492	0.5115009069
493	0.5113039106
494	0.5111609176
495	0.5110380203
496	0.5109133978
497	0.5107906
498	0.5106096875
499	0.5104949476
500	0.5103579773
501	0.5102343871
502	0.5101504191
503	0.5099908752
504	0.5098353973
505	0.5096705562
506	0.5095526626
507	0.509412838
508	0.5092007859
509	0.5090616194
510	0.5089401795
511	0.5088496611
512	0.5087983964
513	0.5086730036
514	0.5084912349
515	0.508365989
516	0.5082414786
517	0.5081254004
518	0.5080374605
519	0.5078997778
520	0.5077996005
521	0.5075786439
522	0.5074372774
523	0.5072838474
524	0.5071291524
525	0.5070192979
526	0.5069004655
527	0.5067413235
528	0.506613141
529	0.5065224219
530	0.5063476861
531	0.5062202899
532	0.506129853
533	0.5059837633
534	0.5059288936
535	0.5058138956
536	0.5056542403
537	0.5055638665
538	0.5053734133
539	0.5052560621
540	0.5051145802
541	0.5049552702
542	0.5047766498
543	0.5046511579
544	0.5044394275
545	0.5043247945
546	0.5041560024
547	0.5041162061
548	0.5039665513
549	0.5038522091
550	0.5037037472
551	0.5035031464
552	0.5033140123
553	0.5032796509
554	0.5031214313
555	0.5030238296
556	0.5028448996
557	0.5026954817
558	0.5026482111
559	0.502552387
560	0.5024563874
561	0.5022879361
562	0.5021433954
563	0.5020769247
564	0.5019877118
565	0.5018020331
566	0.5016631115
567	0.5015503015
568	0.5013889713
569	0.5013308475
570	0.5011581007
571	0.5009683824
572	0.5008182591
573	0.5006554865
574	0.5005471875
575	0.5003666867
576	0.5002608831
577	0.5001200181
578	0.4999563577
579	0.4997615935
580	0.499602025
581	0.4994424064
582	0.4993194857
583	0.4991339199
584	0.4989611998
585	0.4988536531
586	0.4986931627
587	0.4986121173
588	0.4984919228
589	0.4983289158
590	0.4981950512
591	0.4980987378
592	0.4980060193
593	0.4979313552
594	0.4977905658
595	0.497725313
596	0.4976030846
597	0.4974952957
598	0.4973869426
599	0.4972527644
600	0.4971454547
601	0.497045885
602	0.4968984326
603	0.4967568544
604	0.4966665051
605	0.4965482224
606	0.4964387788
607	0.4963646994
608	0.4962188741
609	0.4960951542
610	0.495980434
611	0.4958473411
612	0.4957423688
613	0.4955600411
614	0.495509694
615	0.4954037194
616	0.4952580493
617	0.4951111057
618	0.4950615864
619	0.4949015563
620	0.4948404761
621	0.4947427672
622	0.4946218706
623	0.4945105092
624	0.4944898322
625	0.494353783
626	0.4941879326
627	0.4940519828
628	0.4939269226
629	0.4937828735
630	0.4936708816
631	0.4935214982
632	0.493415381
633	0.4933437187
634	0.4931861976
635	0.4930135759
636	0.4928949462
637	0.4928881377
638	0.4927202633
639	0.4926402989
640	0.4925095723
641	0.4923604199
642	0.4921991724
643	0.49208271
644	0.491922023
645	0.4917958961
646	0.4917573932
647	0.4915766067
648	0.491379322
649	0.491286049
650	0.4911524265
651	0.4910160638
652	0.4909313594
653	0.4908560769
654	0.4907448617
655	0.4906325504
656	0.490557256
657	0.4904133879
658	0.4903391134
659	0.4902256873
660	0.4901631071
661	0.4900875593
662	0.489912771
663	0.4898325295
664	0.4897039169
665	0.4896054125
666	0.4895044578
667	0.4893778255
668	0.4892374421
669	0.489123243
670	0.4890755292
671	0.4889631222
672	0.4888334263
673	0.4886851943
674	0.4885626163
675	0.4884733323
676	0.4883914128
677	0.4882713488
678	0.4882031327
679	0.488053286
680	0.4879134393
681	0.4877967016
682	0.4877257806
683	0.4876395679
684	0.487505384
685	0.4873887489
686	0.4873367434
687	0.4872421236
688	0.4871279109
689	0.4870030475
690	0.4868950299
691	0.4868594086
692	0.486769064
693	0.486649658
694	0.4865348292
695	0.4864062718
696	0.4862678484
697	0.4860930695
698	0.4859314825
699	0.4857570189
700	0.4856562052
701	0.485529687
702	0.4854292992
703	0.4852823058
704	0.4852066627
705	0.4850612626
706	0.4849318933
707	0.4848712315
708	0.4847697922
709	0.4846279812
710	0.4845048908
711	0.4844365224
712	0.4843089666
713	0.4841401437
714	0.484088689
715	0.4839781456
716	0.4838728843
717	0.4837725295
718	0.4837445264
719	0.4836065351
720	0.4834594891
721	0.4834082398
722	0.4832653809
723	0.4830835343
724	0.4829573643
725	0.482841022
726	0.4827051928
727	0.4825968323
728	0.4824013689
729	0.4822903879
730	0.4821603332
731	0.4820557046
732	0.4819827481
733	0.4818683959
734	0.4817698502
735	0.4816720369
736	0.4815327235
737	0.4814093981
738	0.4813672932
739	0.4812583618
740	0.4811061402
741	0.480995475
742	0.4809131272
743	0.4808112686
744	0.4807578857
745	0.4806166261
746	0.4804082881
747	0.4802615295
748	0.48019213
749	0.4800060522
750	0.4798291586
751	0.4796549671
752	0.4795392288
753	0.4794134676
754	0.4792649546
755	0.4791476719
756	0.4791138435
757	0.4789705949
758	0.478892834
759	0.4786974957
760	0.4785942725
761	0.478488511
762	0.4783733762
763	0.4782493592
764	0.4781579332
765	0.4781192312
766	0.4779667382
767	0.4778640453
768	0.4777296751
769	0.4775733899
770	0.4774655974
771	0.4773582982
772	0.4772126463
773	0.4770912244
774	0.4769883298
775	0.4769041307
776	0.4767298933
777	0.4766436992
778	0.4765048951
779	0.4764073878
780	0.4763297286
781	0.476213472
782	0.476133386
783	0.476081466
784	0.4760372686
785	0.4759302693
786	0.4757962259
787	0.4755904498
788	0.4754899724
789	0.4753351748
790	0.4752539675
791	0.4750791611
792	0.474995031
793	0.4748925103
794	0.4747896771
795	0.4746955987
796	0.4745844379
797	0.4744585444
798	0.4742745195
799	0.4741584855
800	0.4740977789
801	0.4739673153
802	0.4738041464
803	0.4736620924
804	0.4736166007
805	0.4735642697
806	0.4734620208
807	0.4733629833
808	0.4732779599
809	0.4731841498
810	0.4731227643
811	0.4730119038
812	0.4729379298
813	0.4728056963
814	0.4727418617
815	0.472650525
816	0.4725029015
817	0.4723998479
818	0.4722984649
819	0.4721681142
820	0.472008111
821	0.4718229989
822	0.4717164455
823	0.4715536639
824	0.4713833794
825	0.471244288
826	0.4711190541
827	0.4709772483
828	0.4708247428
829	0.4707002966
830	0.4706090329
831	0.4704900635
832	0.4703641213
833	0.4702868065
834	0.4701679613
835	0.4700932009
836	0.4699784234
837	0.4698537253
838	0.4697507641
839	0.4696501314
840	0.4696142491
841	0.4695428673
842	0.4694536085
843	0.4693815041
844	0.4692837214
845	0.4691546062
846	0.4690871471
847	0.4689495458
848	0.4688496995
849	0.4687617354
850	0.4686723356
851	0.4685598102
852	0.4684423274
853	0.4683527621
854	0.4681723848
855	0.4680166469
856	0.4679244562
857	0.467812732
858	0.4677222438
859	0.4676290817
860	0.4674858327
861	0.4673824875
862	0.4672167314
863	0.4670970443
864	0.4669881082
865	0.4668467619
866	0.4666604761
867	0.4665368814
868	0.466400571
869	0.4662831537
870	0.4661656078
871	0.4659561053
872	0.4659057226
873	0.465736129
874	0.4656275518
875	0.4654978888
876	0.4654233221
877	0.4653106071
878	0.465155047
879	0.4650294066
880	0.4649446455
881	0.4648528017
882	0.4647622484
883	0.4646362861
884	0.4645455353
885	0.4643957495
886	0.4642562356
887	0.4641186251
888	0.4639813628
889	0.4638598259
890	0.4637430867
891	0.463649448
892	0.4635256098
893	0.4634649259
894	0.4633856667
895	0.4632135388
896	0.4630869438
897	0.4629526396
898	0.4628887559
899	0.4627923069
900	0.462699368
901	0.4626454444
902	0.4625540026
903	0.4624580229
904	0.4623148653
905	0.4622188484
906	0.4620928036
907	0.4620098872
908	0.4619501067
909	0.4618110551
910	0.4618024326
911	0.461670801
912	0.461583548
913	0.4614565873
914	0.4613806983
915	0.4612179626
916	0.4610767824
917	0.4609822641
918	0.4608584023
919	0.4608012072
920	0.4607043148
921	0.4605911964
922	0.4605371419
923	0.4603920107
924	0.4603081249
925	0.4601949886
926	0.4600570325
927	0.460017736
928	0.4599313793
929	0.4598628803
930	0.4597359176
931	0.4596056096
932	0.4594793182
933	0.4593226425
934	0.4592264014
935	0.4591494249
936	0.4590381809
937	0.4589578699
938	0.4588696757
939	0.4587641032
940	0.4585686264
941	0.4584968768
942	0.4584006556
943	0.4582960639
944	0.458174332
945	0.4580254956
946	0.4579511173
947	0.4578370151
948	0.4577555531
949	0.4576197085
950	0.4574634275
951	0.4573861505
952	0.4573620723
953	0.4572368021
954	0.4571410676
955	0.4571313438
956	0.4569952567
957	0.4569051375
958	0.4568987139
959	0.4567625178
960	0.4566568804
961	0.4565472135
962	0.4564799123
963	0.4564685845
964	0.4563491189
965	0.4562296708
966	0.456112071
967	0.4560589311
968	0.4559590704
969	0.4559004567
970	0.4557832337
971	0.4556752598
972	0.4554811561
973	0.4553420184
974	0.4552494255
975	0.4551486522
976	0.4550495358
977	0.4548695008
978	0.4547413283
979	0.4546769018
980	0.4545629392
981	0.4544984204
982	0.4543925735
983	0.4542797545
984	0.45418402
985	0.4540605197
986	0.4539627912
987	0.4538415415
988	0.4537008133
989	0.4535996961
990	0.4534866812
991	0.4533899108
992	0.4533464407
993	0.4532558965
994	0.4531379071
995	0.453052515
996	0.4529547181
997	0.4528453641
998	0.4528230376
999	0.4527033239
