iter	Passed	Remaining
407	5188	7528
408	5200	7514
409	5212	7500
410	5224	7487
411	5235	7472
412	5247	7457
413	5259	7444
414	5271	7431
415	5283	7417
416	5295	7404
417	5309	7392
418	5322	7380
419	5334	7366
420	5345	7351
421	5358	7338
422	5370	7326
423	5383	7312
424	5393	7297
425	5406	7284
426	5417	7270
427	5429	7256
428	5441	7242
429	5453	7228
430	5466	7216
431	5477	7201
432	5491	7190
433	5504	7178
434	5516	7165
435	5529	7152
436	5540	7138
437	5553	7125
438	5565	7111
439	5577	7098
440	5590	7085
441	5602	7072
442	5614	7059
443	5625	7045
444	5637	7031
445	5650	7018
446	5662	7004
447	5673	6991
448	5685	6976
449	5697	6963
450	5709	6950
451	5721	6936
452	5734	6924
453	5748	6913
454	5761	6900
455	5773	6887
456	5784	6873
457	5798	6861
458	5811	6849
459	5823	6836
460	5835	6822
461	5847	6808
462	5859	6795
463	5870	6781
464	5883	6769
465	5895	6755
466	5908	6743
467	5921	6730
468	5933	6717
469	5945	6704
470	5957	6691
471	5969	6678
472	5981	6664
473	5992	6650
474	6004	6636
475	6016	6623
476	6028	6609
477	6040	6596
478	6051	6582
479	6063	6568
480	6074	6554
481	6086	6540
482	6097	6526
483	6108	6512
484	6121	6500
485	6133	6486
486	6145	6473
487	6158	6461
488	6171	6448
489	6183	6435
490	6195	6422
491	6206	6408
492	6218	6395
493	6231	6382
494	6242	6368
495	6253	6354
496	6264	6340
497	6277	6327
498	6288	6314
499	6300	6300
500	6312	6286
501	6323	6272
502	6335	6260
503	6347	6247
504	6359	6233
505	6372	6221
506	6385	6209
507	6397	6195
508	6409	6182
509	6420	6168
510	6432	6155
511	6444	6142
512	6455	6128
513	6467	6114
514	6479	6101
515	6490	6087
516	6501	6074
517	6513	6061
518	6525	6047
519	6536	6033
520	6548	6020
521	6562	6008
522	6575	5996
523	6586	5983
524	6599	5970
525	6611	5957
526	6622	5944
527	6635	5931
528	6647	5918
529	6660	5906
530	6673	5893
531	6684	5880
532	6695	5866
533	6707	5853
534	6719	5840
535	6731	5827
536	6743	5814
537	6754	5800
538	6767	5788
539	6778	5774
540	6792	5763
541	6805	5750
542	6817	5738
543	6829	5724
544	6841	5711
545	6852	5698
546	6864	5685
547	6875	5671
548	6889	5659
549	6901	5646
550	6912	5633
551	6924	5620
552	6936	5607
553	6948	5593
554	6960	5580
555	6971	5567
556	6984	5554
557	6996	5542
558	7008	5528
559	7020	5515
560	7032	5503
561	7044	5489
562	7056	5477
563	7068	5464
564	7080	5451
565	7091	5437
566	7102	5424
567	7114	5411
568	7125	5397
569	7136	5383
570	7149	5371
571	7160	5358
572	7173	5345
573	7185	5332
574	7198	5320
575	7211	5308
576	7223	5295
577	7236	5283
578	7249	5270
579	7261	5258
580	7274	5245
581	7285	5232
582	7297	5219
583	7309	5206
584	7320	5193
585	7332	5180
586	7344	5167
587	7356	5154
588	7367	5140
589	7379	5128
590	7391	5115
591	7403	5102
592	7415	5089
593	7428	5077
594	7441	5065
595	7454	5052
596	7465	5039
597	7478	5027
598	7491	5015
599	7503	5002
600	7516	4989
601	7528	4977
602	7542	4965
603	7556	4954
604	7570	4942
605	7583	4930
606	7597	4918
607	7611	4907
608	7624	4895
609	7638	4883
610	7651	4871
611	7663	4858
612	7675	4845
613	7688	4833
614	7702	4821
615	7714	4809
616	7727	4796
617	7739	4783
618	7750	4770
619	7762	4757
620	7772	4743
621	7785	4731
622	7797	4718
623	7808	4705
624	7819	4691
625	7833	4679
626	7847	4668
627	7860	4655
628	7871	4642
629	7885	4630
630	7897	4618
631	7909	4605
632	7920	4592
633	7933	4579
634	7945	4567
635	7956	4553
636	7968	4541
637	7979	4527
638	7991	4514
639	8003	4502
640	8015	4489
641	8028	4476
642	8040	4463
643	8052	4451
644	8065	4439
645	8077	4426
646	8088	4413
647	8100	4400
648	8113	4388
649	8125	4375
650	8138	4362
651	8150	4350
652	8161	4337
653	8173	4324
654	8184	4311
655	8196	4298
656	8209	4285
657	8220	4272
658	8233	4260
659	8246	4248
660	8259	4235
661	8271	4223
662	8282	4210
663	8294	4197
664	8306	4184
665	8318	4171
666	8329	4158
667	8341	4146
668	8353	4133
669	8365	4120
670	8376	4107
671	8388	4094
672	8400	4081
673	8412	4068
674	8425	4056
675	8437	4044
676	8449	4031
677	8463	4019
678	8475	4006
679	8488	3994
680	8500	3981
681	8511	3968
682	8522	3955
683	8534	3942
684	8547	3930
685	8558	3917
686	8569	3904
687	8581	3891
688	8593	3879
689	8605	3866
690	8617	3853
691	8629	3840
692	8643	3828
693	8656	3816
694	8669	3804
695	8683	3793
696	8697	3781
697	8709	3768
698	8721	3755
699	8734	3743
700	8746	3730
701	8759	3718
702	8771	3705
703	8783	3693
704	8796	3680
705	8808	3668
706	8820	3655
707	8832	3642
708	8844	3630
709	8857	3617
710	8871	3606
711	8884	3593
712	8897	3581
713	8910	3569
714	8921	3556
715	8933	3543
716	8945	3530
717	8958	3518
718	8970	3505
719	8981	3492
720	8994	3480
721	9006	3467
722	9017	3454
723	9029	3442
724	9043	3430
725	9055	3417
726	9069	3405
727	9081	3393
728	9095	3381
729	9107	3368
730	9118	3355
731	9130	3342
732	9142	3330
733	9154	3317
734	9166	3304
735	9178	3292
736	9192	3280
737	9205	3267
738	9216	3255
739	9228	3242
740	9240	3229
741	9252	3217
742	9264	3204
743	9276	3191
744	9288	3179
